player_id,player_name,team,opponent,position,season,season_type,week,ladder_line,target_line,probability,probability_grade,projected_targets,target_projection_mean,target_projection_median,target_projection_floor,target_projection_ceiling,target_model_std,target_model_source,model_version
00-0041040,Antonio Williams,WAS,SEA,WR,2026,REG,3,4,4,54.66,ELITE,3.622,3.621,4.0,2.0,5.0,1.105,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0041040,Antonio Williams,WAS,SEA,WR,2026,REG,3,5,5,20.55,ELITE,3.622,3.621,4.0,2.0,5.0,1.105,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0041040,Antonio Williams,WAS,SEA,WR,2026,REG,3,6,6,3.79,ELITE,3.622,3.621,4.0,2.0,5.0,1.105,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0041040,Antonio Williams,WAS,SEA,WR,2026,REG,3,7,7,0.35,LOW,3.622,3.621,4.0,2.0,5.0,1.105,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0041040,Antonio Williams,WAS,SEA,WR,2026,REG,3,8,8,0.02,VERY LOW,3.622,3.621,4.0,2.0,5.0,1.105,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0041040,Antonio Williams,WAS,SEA,WR,2026,REG,3,9,9,0.0,VERY LOW,3.622,3.621,4.0,2.0,5.0,1.105,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0041040,Antonio Williams,WAS,SEA,WR,2026,REG,3,10,10,0.0,VERY LOW,3.622,3.621,4.0,2.0,5.0,1.105,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0040122,Ashton Jeanty,LV,NO,RB,2026,REG,3,1,1,97.69,ELITE,4.976,5.002,5.0,2.0,8.0,2.249,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0040122,Ashton Jeanty,LV,NO,RB,2026,REG,3,2,2,93.89,ELITE,4.976,5.002,5.0,2.0,8.0,2.249,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0040122,Ashton Jeanty,LV,NO,RB,2026,REG,3,3,3,86.57,ELITE,4.976,5.002,5.0,2.0,8.0,2.249,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0040122,Ashton Jeanty,LV,NO,RB,2026,REG,3,4,4,74.4,ELITE,4.976,5.002,5.0,2.0,8.0,2.249,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0040122,Ashton Jeanty,LV,NO,RB,2026,REG,3,5,5,58.72,ELITE,4.976,5.002,5.0,2.0,8.0,2.249,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0040122,Ashton Jeanty,LV,NO,RB,2026,REG,3,6,6,41.16,ELITE,4.976,5.002,5.0,2.0,8.0,2.249,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0040122,Ashton Jeanty,LV,NO,RB,2026,REG,3,7,7,25.19,ELITE,4.976,5.002,5.0,2.0,8.0,2.249,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0040122,Ashton Jeanty,LV,NO,RB,2026,REG,3,8,8,13.29,ELITE,4.976,5.002,5.0,2.0,8.0,2.249,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0040122,Ashton Jeanty,LV,NO,RB,2026,REG,3,9,9,5.96,ELITE,4.976,5.002,5.0,2.0,8.0,2.249,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0040122,Ashton Jeanty,LV,NO,RB,2026,REG,3,10,10,2.3,ELITE,4.976,5.002,5.0,2.0,8.0,2.249,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0037157,Bam Knight,ARI,SF,RB,2026,REG,3,1,1,95.95,ELITE,4.072,4.094,4.0,1.0,7.0,2.036,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0037157,Bam Knight,ARI,SF,RB,2026,REG,3,2,2,89.45,ELITE,4.072,4.094,4.0,1.0,7.0,2.036,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0037157,Bam Knight,ARI,SF,RB,2026,REG,3,3,3,77.75,ELITE,4.072,4.094,4.0,1.0,7.0,2.036,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0037157,Bam Knight,ARI,SF,RB,2026,REG,3,4,4,61.08,ELITE,4.072,4.094,4.0,1.0,7.0,2.036,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0037157,Bam Knight,ARI,SF,RB,2026,REG,3,5,5,41.85,ELITE,4.072,4.094,4.0,1.0,7.0,2.036,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0037157,Bam Knight,ARI,SF,RB,2026,REG,3,6,6,24.49,ELITE,4.072,4.094,4.0,1.0,7.0,2.036,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0037157,Bam Knight,ARI,SF,RB,2026,REG,3,7,7,11.91,ELITE,4.072,4.094,4.0,1.0,7.0,2.036,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0037157,Bam Knight,ARI,SF,RB,2026,REG,3,8,8,4.81,ELITE,4.072,4.094,4.0,1.0,7.0,2.036,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0037157,Bam Knight,ARI,SF,RB,2026,REG,3,9,9,1.57,ELITE,4.072,4.094,4.0,1.0,7.0,2.036,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0037157,Bam Knight,ARI,SF,RB,2026,REG,3,10,10,0.42,COIN FLIP,4.072,4.094,4.0,1.0,7.0,2.036,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0038542,Bijan Robinson,ATL,GB,RB,2026,REG,3,1,1,95.36,ELITE,5.747,5.809,6.0,2.0,10.0,3.055,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0038542,Bijan Robinson,ATL,GB,RB,2026,REG,3,2,2,91.33,ELITE,5.747,5.809,6.0,2.0,10.0,3.055,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0038542,Bijan Robinson,ATL,GB,RB,2026,REG,3,3,3,85.16,ELITE,5.747,5.809,6.0,2.0,10.0,3.055,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0038542,Bijan Robinson,ATL,GB,RB,2026,REG,3,4,4,76.56,ELITE,5.747,5.809,6.0,2.0,10.0,3.055,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0038542,Bijan Robinson,ATL,GB,RB,2026,REG,3,5,5,65.81,ELITE,5.747,5.809,6.0,2.0,10.0,3.055,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
00-0038542,Bijan Robinson,ATL,GB,RB,2026,REG,3,6,6,53.5,ELITE,5.747,5.809,6.0,2.0,10.0,3.055,PLAYER_HISTORY_BLEND,NFL_RECEIVING_TARGETS_V1
